Number,Title,Vehicle_class,Manufacturer,Features,Acquisition,Price,Storage_location,Delivery_method,Modifications,Resale_flag,Resale_price,Race_availability,Top_speed_in_game,Based_on,Seats,weight_in_kg,drive_train,gears,release_date,release_dlc,top_speed_real,lap_time,bulletproof,weapon1_resistance,weapon2_resistance,weapon3_resistance,weapon4_resistance,weapon5_resistance,speed,acceleration,braking,handling,overall,vehicle_url
1,  Volatol,Planes,NA,"Armored Vehicle, Bombs Mod, Bulletproof - Rear, Countermeasures, Has Liveries, Has Trade Price, No Passive Mode, Weaponized Vehicle",Warstock Cache & Carry,"$3,724,000 ",Hangar (Personal Aircraft),Interaction Menu - Aircraft,Hangar Aircraft Workshop,Can be sold only if purchased (High-End),"$2,234,400	
	($2,421,475 when fully upgraded)",Transform Races Only,155.34 mph (250.00 km/h),"Avro Vulcan, Myasishchev M-4, de Haviland Comet",4,"40,000	KG",NA,NA,12-Dec-17,1.42 The Doomsday Heist,165.50 mph (266.35 km/h),00:53.5,Bulletproof from the rear (rear has no windows),3,1,2,1,1,"Speed
76.07","Acceleration
28.58","Braking
32.50","Handling
1.01","Overall
34.54",https://www.gtabase.com//grand-theft-auto-v/vehicles/volatol
2, Sadler,Utility,Vapid,"Has Variants, Snow Vehicle - North Yankton, Towing Hitch",Can be stolen / found,"$35,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$21,000	
	($109,375 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),First Generation Ford F250 Super Duty,4,"2,100	KG",NA,5,17-Sep-13,1.01 Game Launch,100.00 mph (160.93 km/h),01:19.1,No,1,1,2,1,1,"Speed
69.75","Acceleration
50.00","Braking
20.00","Handling
62.12","Overall
50.47",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-sadler
3, Benefactor Terrorbyte,Commercial,Benefactor,"Armored Vehicle, Bulletproof - Front, Bulletproof - Side, Bulletproof - Rear, Command Center, Homing Missiles, No Passive Mode, Unique Radar Icon, Weaponized Vehicle",Warstock Cache & Carry,"$1,375,000 ",Nightclub Warehouse,Interaction Menu - Services,Point of Storage,Cannot be sold,NA,Cannot be used in Races,74.56 mph (120.00 km/h),Mercedes-Benz Zetros 6x6 Expedition Vehicle,4,"10,000	KG",RWD,6,14-Aug-18,1.44 After Hours,87.25 mph (140.41 km/h),01:28.3,Bullet resistant windows from all sides (rear has no windows),34,34,81,17,8,"Speed
64.39","Acceleration
40.00","Braking
8.33","Handling
59.09","Overall
42.95",https://www.gtabase.com//grand-theft-auto-v/vehicles/terrorbyte
4, Mammoth Dodo,Planes,Mammoth,"Armored Vehicle, Bulletproof - Rear, Float on Water, Has Liveries, Has Variants, Mystery Prize, Passengers can hang on side",Elitas Travel,"$500,000 ",Pegasus Vehicle,Pegasus Concierge,Paint Job Only,Cannot be sold,NA,Transform Races Only,155.34 mph (250.00 km/h),De Havilland Canada DHC-2 Beaver,4,"2,000	KG",RWD,NA,18-Nov-14,1.18 PS4 & Xbox One Release,134.25 mph (216.05 km/h),00:55.3,Bulletproof from the rear (rear has no windows),2,1,2,1,1,"Speed
76.07","Acceleration
25.00","Braking
18.99","Handling
25.95","Overall
36.50",https://www.gtabase.com//grand-theft-auto-v/vehicles/mammoth-dodo
5, Fathom FQ 2,SUVs,Fathom,Mystery Prize,Can be stolen / found,"$50,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$30,000	
	($96,100 when fully upgraded)",Can be used in Races,83.89 mph (135.00 km/h),Infiniti QX70,4,"2,400	KG",NA,5,17-Sep-13,1.01 Game Launch,104.00 mph (167.37 km/h),01:18.9,No,1,1,2,1,1,"Speed
72.43","Acceleration
45.00","Braking
8.33","Handling
60.61","Overall
46.59",https://www.gtabase.com//grand-theft-auto-v/vehicles/fathom-fq-2
6, Dinka Enduro,Motorcycles,Dinka,"Has Liveries, Has Variants, Mystery Prize",Southern S.A. Super Autos,"$48,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$28,800	
	($84,300 when fully upgraded)",Can be used in Races,73.94 mph (119.00 km/h),"Honda XL350, XR500 & CB Series",2,"220	KG",RWD,4,10-Mar-15,1.21 Heists DLC,107.25 mph (172.60 km/h),01:09.1,No,1,1,2,1,1,"Speed
63.85","Acceleration
72.50","Braking
36.67","Handling
65.45","Overall
59.62",https://www.gtabase.com//grand-theft-auto-v/vehicles/dinka-enduro
7, Enus Cognoscenti 55 (Armored),Sedans,Enus,"Armored Vehicle, Bulletproof - Front, Bulletproof - Side, Bulletproof - Rear",Legendary Motorsport,"$396,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$237,600	
	($303,700 when fully upgraded)",Can be used in Races,90.10 mph (145.00 km/h),"Bentley Continental Flying Spur, Mayback Type 57-62, Rover 75",4,"2,600	KG",RWD,5,15-Dec-15,1.31 Executives and Other Criminals,112.25 mph (180.65 km/h),01:14.0,Bullet resistant windows from all sides,2,2,4,1,1,"Speed
77.80","Acceleration
65.00","Braking
18.33","Handling
66.67","Overall
56.95",https://www.gtabase.com//grand-theft-auto-v/vehicles/enus-cognoscenti-55-armored
8, Karin 190z,Sports Classics,Karin,"Has Liveries, JDM Car",Legendary Motorsport,"$900,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$540,000	
	($758,863 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),"Datsun 240Z/Nissan Fairlady Z/Nissan S30, Toyota 2000GT",2,"1,100	KG",RWD,5,20-Feb-18,1.42 The Doomsday Heist,109.75 mph (176.63 km/h),01:10.4,No,1,1,2,1,1,"Speed
75.12","Acceleration
67.50","Braking
31.67","Handling
69.70","Overall
61.00",https://www.gtabase.com//grand-theft-auto-v/vehicles/karin-190z
9, RUNE Cheburek,Sports Classics,RUNE,"Has Liveries, Mystery Prize",Southern S.A. Super Autos,"$145,000 ",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$87,000	
	($268,620 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),"VAZ-2101, VAZ-2106, VAZ-2107",4,"1,100	KG",RWD,5,5-Jun-18,1.43 Southern SA Super Sport Series,108.75 mph (175.02 km/h),01:12.0,No,1,1,2,1,1,"Speed
75.12","Acceleration
66.25","Braking
26.67","Handling
68.18","Overall
59.05",https://www.gtabase.com//grand-theft-auto-v/vehicles/rune-cheburek
10, HVY Barracks,Military,HVY,Has Variants,Warstock Cache & Carry,"$450,000 ",Pegasus Vehicle,Pegasus Concierge,Cannot be modified,Cannot be sold,NA,Transform Races Only,68.35 mph (110.00 km/h),Daimler military chassis,10,"9,000	KG",RWD,5,17-Sep-13,1.01 Game Launch,82.50 mph (132.77 km/h),01:44.6,No,1,1,2,1,1,"Speed
59.02","Acceleration
27.50","Braking
10.00","Handling
50.00","Overall
36.63",https://www.gtabase.com//grand-theft-auto-v/vehicles/hvy-barracks
